symbol	gene	description	original_symbol	ASD_high_conf	EPI_high_conf	CHD_high_conf	ASD_DNV	EPI_DNV	CHD_DNV	matches
FAM8A1	51439	family with sequence similarity 8 member A1	FAM8A1	0	0	0	1	0	0	
FAM91A1	157769	family with sequence similarity 91 member A1	FAM91A1	0	0	0	1	0	0	
FARP1	10160	"FERM, ARH/RhoGEF and pleckstrin domain protein 1"	FARP1	0	0	0	1	0	0	
FARSB	10056	phenylalanyl-tRNA synthetase beta subunit	FARSB	0	0	0	0	0	1	
FASN	2194	fatty acid synthase	FASN	0	1	0	0	0	0	
FAT1	2195	FAT atypical cadherin 1	FAT1	0	0	0	1	0	0	
FAT3	120114	FAT atypical cadherin 3	FAT3	0	0	0	1	0	0	
FBN1	2200	fibrillin 1	FBN1	0	0	1	1	0	1	
FBN2	2201	fibrillin 2	FBN2	0	0	0	0	0	1	
FBXL4	26235	F-box and leucine rich repeat protein 4	FBXL4	0	0	0	0	1	0	
FBXO11	80204	F-box protein 11	FBXO11	0	0	0	1	0	0	
FBXO18	84893	"F-box protein, helicase, 18"	FBXO18	0	0	0	1	0	0	
FBXO41	150726	F-box protein 41	FBXO41	0	0	0	0	1	0	
FBXW11	23291	F-box and WD repeat domain containing 11	FBXW11	0	0	0	1	0	0	
FCAR	2204	Fc fragment of IgA receptor	FCAR	0	0	0	0	0	1	
FCRL6	343413	Fc receptor like 6	FCRL6	0	0	0	1	0	0	
FER1L5	90342	fer-1 like family member 5	FER1L5	0	0	0	1	0	0	
FETUB	26998	fetuin B	FETUB	0	0	0	0	1	0	
FGF12	2257	fibroblast growth factor 12	FGF12	0	0	0	0	0	1	
FGFR4	2264	fibroblast growth factor receptor 4	FGFR4	0	0	0	0	0	1	
FIG4	9896	FIG4 phosphoinositide 5-phosphatase	FIG4	0	0	0	0	0	1	
FLG	2312	filaggrin	FLG	0	0	0	1	0	0	
FLNC	2318	filamin C	FLNC	0	0	0	0	0	1	
FLT4	2324	fms related tyrosine kinase 4	FLT4	0	0	0	0	0	1	
FMN1	342184	formin 1	FMN1	0	0	0	0	0	1	
FOXK2	3607	forkhead box K2	FOXK2	0	0	0	0	0	1	
FOXM1	2305	forkhead box M1	FOXM1	0	0	0	0	0	1	
FOXP1	27086	forkhead box P1	FOXP1	1	0	0	1	0	0	
FREM2	341640	FRAS1 related extracellular matrix protein 2	FREM2	0	0	0	0	0	1	
FREM3	166752	FRAS1 related extracellular matrix 3	FREM3	0	0	0	1	0	0	
FRMD3	257019	FERM domain containing 3	FRMD3	0	0	0	1	0	1	
FTSJ3	117246	FtsJ RNA methyltransferase homolog 3	FTSJ3	0	0	0	1	0	1	
FUK	197258	fucokinase	FUK	0	0	0	0	0	1	
FZD8	8325	frizzled class receptor 8	FZD8	0	0	0	0	0	1	
G3BP1	10146	G3BP stress granule assembly factor 1	G3BP1	0	0	0	0	1	0	
GABBR2	9568	gamma-aminobutyric acid type B receptor subunit 2	GABBR2	0	1	0	0	1	0	
GABRA1	2554	gamma-aminobutyric acid type A receptor alpha1 subunit	GABRA1	0	0	0	1	1	0	
GABRB1	2560	gamma-aminobutyric acid type A receptor beta1 subunit	GABRB1	0	0	0	0	1	0	
GABRB3	2562	gamma-aminobutyric acid type A receptor beta3 subunit	GABRB3	1	1	0	0	1	0	
GALNT18	374378	polypeptide N-acetylgalactosaminyltransferase 18	GALNT18	0	0	0	1	0	0	
GANAB	23193	glucosidase II alpha subunit	GANAB	0	0	1	0	0	1	
GATA4	2626	GATA binding protein 4	GATA4	0	0	0	1	0	0	
GATA6	2627	GATA binding protein 6	GATA6	0	0	0	0	0	1	
GDF5	8200	growth differentiation factor 5	GDF5	0	0	0	1	0	0	
GDI1	2664	GDP dissociation inhibitor 1	GDI1	0	0	0	1	0	0	
GIGYF1	64599	GRB10 interacting GYF protein 1	GIGYF1	1	0	0	1	0	0	
GIGYF2	26058	GRB10 interacting GYF protein 2	GIGYF2	0	0	0	1	0	0	
GIMAP8	155038	"GTPase, IMAP family member 8"	GIMAP8	0	0	0	1	0	0	
GJA10	84694	gap junction protein alpha 10	GJA10	0	0	0	0	0	1	
GLA	2717	galactosidase alpha	GLA	0	0	0	0	0	1	
GLRA2	2742	glycine receptor alpha 2	GLRA2	0	0	0	1	0	0	
NOP53	29997	NOP53 ribosome biogenesis factor	GLTSCR2	0	0	0	1	0	0	DIF
GNAI1	2770	G protein subunit alpha i1	GNAI1	0	0	0	1	0	0	
GNAO1	2775	G protein subunit alpha o1	GNAO1	0	1	0	1	1	0	
GNAS	2778	GNAS complex locus	GNAS	0	0	0	1	0	0	
GNE	10020	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	GNE	0	0	0	0	0	1	
GNPAT	8443	glyceronephosphate O-acyltransferase	GNPAT	0	0	0	0	0	1	
GOLGA5	9950	golgin A5	GOLGA5	0	0	0	1	0	0	
GOPC	57120	golgi associated PDZ and coiled-coil motif containing	GOPC	0	0	0	1	0	0	
GPC5	2262	glypican 5	GPC5	0	0	0	1	0	0	
GPCPD1	56261	glycerophosphocholine phosphodiesterase 1	GPCPD1	0	0	0	1	0	0	
GPR39	2863	G protein-coupled receptor 39	GPR39	0	0	0	1	0	0	
ADGRV1	84059	adhesion G protein-coupled receptor V1	GPR98	0	0	0	1	0	0	DIF
GPRIN1	114787	G protein regulated inducer of neurite outgrowth 1	GPRIN1	0	0	0	1	0	0	
GPS1	2873	G protein pathway suppressor 1	GPS1	0	0	0	1	0	0	
GPSM1	26086	G protein signaling modulator 1	GPSM1	0	0	0	1	0	0	
GPSM2	29899	G protein signaling modulator 2	GPSM2	0	0	0	0	0	1	
GPT2	84706	glutamic--pyruvic transaminase 2	GPT2	0	0	0	0	0	1	
GRAMD2A	196996	GRAM domain containing 2A	GRAMD2	0	0	0	1	0	0	DIF
GREB1L	80000	growth regulation by estrogen in breast cancer 1 like	GREB1L	0	0	0	0	0	1	
GRIN1	2902	glutamate ionotropic receptor NMDA type subunit 1	GRIN1	0	0	0	0	1	0	
GRIN2B	2904	glutamate ionotropic receptor NMDA type subunit 2B	GRIN2B	1	0	0	1	1	0	
GRINA	2907	glutamate ionotropic receptor NMDA type subunit associated protein 1	GRINA	0	0	0	0	0	1	
GRM6	2916	glutamate metabotropic receptor 6	GRM6	0	0	0	1	0	0	
GRM7	2917	glutamate metabotropic receptor 7	GRM7	0	0	0	1	0	0	
GSE1	23199	Gse1 coiled-coil protein	GSE1	0	0	0	1	0	0	
GTDC1	79712	glycosyltransferase like domain containing 1	GTDC1	0	0	0	0	0	1	
GTPBP1	9567	GTP binding protein 1	GTPBP1	0	0	0	0	0	1	
GTPBP4	23560	GTP binding protein 4	GTPBP4	0	0	0	0	0	1	
H2AFV	94239	H2A histone family member V	H2AFV	0	0	0	1	0	0	
HDAC4	9759	histone deacetylase 4	HDAC4	0	1	0	0	0	0	
HDAC9	9734	histone deacetylase 9	HDAC9	0	0	0	1	0	0	
HDDC3	374659	HD domain containing 3	HDDC3	0	0	0	0	0	1	
HDGFL2	84717	HDGF like 2	HDGFRP2	0	0	0	1	0	0	DIF
HDLBP	3069	high density lipoprotein binding protein	HDLBP	0	0	0	1	0	0	
HECTD1	25831	HECT domain E3 ubiquitin protein ligase 1	HECTD1	0	0	0	1	0	0	
HEPACAM	220296	hepatic and glial cell adhesion molecule	HEPACAM	0	0	0	0	0	1	
HERC1	8925	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1	HERC1	0	0	0	1	0	0	
HEY1	23462	hes related family bHLH transcription factor with YRPW motif 1	HEY1	0	0	0	1	0	0	
HIPK3	10114	homeodomain interacting protein kinase 3	HIPK3	0	0	0	0	1	0	
HIRA	7290	histone cell cycle regulator	HIRA	0	0	0	0	0	1	
HIST1H2AE	3012	histone cluster 1 H2A family member e	HIST1H2AE	0	0	0	1	0	0	
HIST1H3G	8355	histone cluster 1 H3 family member g	HIST1H3G	0	0	0	1	0	0	
HIVEP3	59269	human immunodeficiency virus type I enhancer binding protein 3	HIVEP3	0	0	0	1	0	0	
HK2	3099	hexokinase 2	HK2	0	0	0	0	0	1	
HLTF	6596	helicase like transcription factor	HLTF	0	0	0	0	0	1	
HMCN1	83872	hemicentin 1	HMCN1	0	0	0	0	0	1	
HNRNPU	3192	heterogeneous nuclear ribonucleoprotein U	HNRNPU	0	0	0	0	1	0	
HOXA10	3206	homeobox A10	HOXA10	0	0	0	0	0	1	
HOXD1	3231	homeobox D1	HOXD1	0	0	0	1	0	0	
HTR1D	3352	5-hydroxytryptamine receptor 1D	HTR1D	0	0	0	1	0	0	
IARS	3376	isoleucyl-tRNA synthetase	IARS	0	0	0	0	0	1	
IFI30	10437	"IFI30, lysosomal thiol reductase"	IFI30	0	0	0	1	0	0	
IFI44L	10964	interferon induced protein 44 like	IFI44L	0	0	0	1	0	0	
IFNA10	3446	interferon alpha 10	IFNA10	0	0	0	1	0	0	
IFT172	26160	intraflagellar transport 172	IFT172	0	0	0	0	1	0	
IFT88	8100	intraflagellar transport 88	IFT88	0	0	0	1	0	0	
IGF1R	3480	insulin like growth factor 1 receptor	IGF1R	0	0	0	0	0	1	
IGSF3	3321	immunoglobulin superfamily member 3	IGSF3	0	0	0	1	0	0	
IL11	3589	interleukin 11	IL11	0	0	0	0	0	1	
IL17RA	23765	interleukin 17 receptor A	IL17RA	0	0	0	1	0	0	
IL2RB	3560	interleukin 2 receptor subunit beta	IL2RB	0	0	0	0	0	1	
IL3	3562	interleukin 3	IL3	0	0	0	1	0	0	
ILF2	3608	interleukin enhancer binding factor 2	ILF2	1	0	0	1	0	0	
INPP5F	22876	inositol polyphosphate-5-phosphatase F	INPP5F	0	0	0	0	0	1	
INTS10	55174	integrator complex subunit 10	INTS10	0	0	0	1	0	0	
INTS6	26512	integrator complex subunit 6	INTS6	1	0	0	1	0	1	
IQCB1	9657	IQ motif containing B1	IQCB1	0	0	0	0	0	1	
IQCC	55721	IQ motif containing C	IQCC	0	0	0	1	0	0	
IQGAP2	10788	IQ motif containing GTPase activating protein 2	IQGAP2	0	0	0	1	0	0	
IQSEC2	23096	IQ motif and Sec7 domain 2	IQSEC2	0	0	0	0	1	0	
IRF2BPL	64207	interferon regulatory factor 2 binding protein like	IRF2BPL	1	0	0	1	0	0	
ISY1-RAB43	100534599	ISY1-RAB43 readthrough	ISY1-RAB43	0	0	0	1	0	0	
ITFG2	55846	integrin alpha FG-GAP repeat containing 2	ITFG2	0	0	0	0	0	1	
ITGA7	3679	integrin subunit alpha 7	ITGA7	0	0	0	0	0	1	
ITGB3	3690	integrin subunit beta 3	ITGB3	0	0	0	1	0	0	
ITIH3	3699	inter-alpha-trypsin inhibitor heavy chain 3	ITIH3	0	0	0	1	0	0	
ITSN2	50618	intersectin 2	ITSN2	0	0	0	0	0	1	
JAG1	182	jagged 1	JAG1	0	0	1	0	0	1	
JAG2	3714	jagged 2	JAG2	0	0	0	0	0	1	
JAKMIP1	152789	janus kinase and microtubule interacting protein 1	JAKMIP1	0	0	0	1	0	0	
JPH3	57338	junctophilin 3	JPH3	0	0	0	1	0	0	
KANSL1	284058	KAT8 regulatory NSL complex subunit 1	KANSL1	0	0	0	0	0	1	
KAT2B	8850	lysine acetyltransferase 2B	KAT2B	1	0	0	1	0	0	
KAT6A	7994	lysine acetyltransferase 6A	KAT6A	0	0	0	1	0	1	
KAT6B	23522	lysine acetyltransferase 6B	KAT6B	0	0	0	0	0	1	
KATNAL2	83473	katanin catalytic subunit A1 like 2	KATNAL2	1	0	0	1	0	0	
KCNA3	3738	potassium voltage-gated channel subfamily A member 3	KCNA3	0	0	0	0	0	1	
KCNB1	3745	potassium voltage-gated channel subfamily B member 1	KCNB1	0	0	0	0	1	0	
KCND3	3752	potassium voltage-gated channel subfamily D member 3	KCND3	0	0	0	1	0	0	
KCNH6	81033	potassium voltage-gated channel subfamily H member 6	KCNH6	0	0	0	0	0	1	
KCNH8	131096	potassium voltage-gated channel subfamily H member 8	KCNH8	0	0	0	1	0	0	
KCNJ15	3772	potassium voltage-gated channel subfamily J member 15	KCNJ15	0	0	0	0	0	1	
KCNJ16	3773	potassium voltage-gated channel subfamily J member 16	KCNJ16	0	0	0	0	0	1	
KCNQ1	3784	potassium voltage-gated channel subfamily Q member 1	KCNQ1	0	0	0	0	0	1	
KCNQ2	3785	potassium voltage-gated channel subfamily Q member 2	KCNQ2	0	1	0	0	0	0	
KCTD20	222658	potassium channel tetramerization domain containing 20	KCTD20	0	0	0	1	0	1	
KDM5A	5927	lysine demethylase 5A	KDM5A	0	0	0	0	0	1	
KDM5B	10765	lysine demethylase 5B	KDM5B	1	0	1	1	0	1	
KDM6B	23135	lysine demethylase 6B	KDM6B	1	0	0	1	0	1	
KIAA0100	9703	KIAA0100	KIAA0100	0	0	0	1	0	1	
WASHC5	9897	WASH complex subunit 5	KIAA0196	0	0	0	0	0	1	DIF
KIAA0232	9778	KIAA0232	KIAA0232	0	0	0	1	0	0	
MYORG	57462	myogenesis regulating glycosidase (putative)	KIAA1161	0	0	0	0	0	1	DIF
RIC1	57589	"RIC1 homolog, RAB6A GEF complex partner 1"	KIAA1432	0	0	0	1	0	0	DIF
KIAA1456	57604	KIAA1456	KIAA1456	0	0	0	0	0	1	
CEP295	85459	centrosomal protein 295	KIAA1731	0	0	0	1	0	0	DIF
KIF21A	55605	kinesin family member 21A	KIF21A	0	0	0	1	0	0	
KIF5A	3798	kinesin family member 5A	KIF5A	0	0	0	0	0	1	
KIR2DL2	3803	"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2"	KIR2DL2	0	0	0	1	0	0	
KLB	152831	klotho beta	KLB	0	0	0	1	0	0	
KLF2	10365	Kruppel like factor 2	KLF2	0	0	0	0	0	1	
KLF4	9314	Kruppel like factor 4	KLF4	0	0	0	0	0	1	
KLHDC10	23008	kelch domain containing 10	KLHDC10	0	0	0	1	0	0	
KLHL14	57565	kelch like family member 14	KLHL14	0	0	0	1	0	0	
KLHL25	64410	kelch like family member 25	KLHL25	0	0	0	1	0	0	
KLHL28	54813	kelch like family member 28	KLHL28	0	0	0	1	0	0	
KMT2A	4297	lysine methyltransferase 2A	KMT2A	0	0	0	1	0	0	
KMT2B	9757	lysine methyltransferase 2B	KMT2B	0	0	0	0	1	0	
KMT2C	58508	lysine methyltransferase 2C	KMT2C	1	0	0	1	0	1	
KMT2D	8085	lysine methyltransferase 2D	KMT2D	0	0	1	1	0	1	
KMT2E	55904	lysine methyltransferase 2E	KMT2E	1	0	0	1	0	0	
KNDC1	85442	kinase non-catalytic C-lobe domain containing 1	KNDC1	0	0	0	0	0	1	
KRT1	3848	keratin 1	KRT1	0	0	0	0	0	1	
KRT13	3860	keratin 13	KRT13	0	0	1	0	0	1	
KRT16	3868	keratin 16	KRT16	0	0	0	1	0	0	
KRT80	144501	keratin 80	KRT80	0	0	0	1	0	0	
L1CAM	3897	L1 cell adhesion molecule	L1CAM	0	0	0	1	0	0	
LAMA5	3911	laminin subunit alpha 5	LAMA5	0	0	0	0	0	1	
LAMB1	3912	laminin subunit beta 1	LAMB1	0	0	0	1	0	0	
LAMC1	3915	laminin subunit gamma 1	LAMC1	0	0	0	0	0	1	
LAMC3	10319	laminin subunit gamma 3	LAMC3	0	0	0	1	0	0	
LANCL2	55915	LanC like 2	LANCL2	0	0	0	0	1	0	
LARP4B	23185	La ribonucleoprotein domain family member 4B	LARP4B	0	0	0	1	0	0	
LDLR	3949	low density lipoprotein receptor	LDLR	0	0	0	0	0	1	
LIG3	3980	DNA ligase 3	LIG3	0	0	0	1	0	0	
LIN7A	8825	"lin-7 homolog A, crumbs cell polarity complex component"	LIN7A	0	0	0	0	1	0	
LIPJ	142910	lipase family member J	LIPJ	0	0	0	0	0	1	
LMAN1	3998	"lectin, mannose binding 1"	LMAN1	0	0	0	0	0	1	
LMTK3	114783	lemur tyrosine kinase 3	LMTK3	0	0	0	1	0	0	
ADGRL2	23266	adhesion G protein-coupled receptor L2	LPHN2	0	0	0	1	0	0	DIF
LRFN2	57497	leucine rich repeat and fibronectin type III domain containing 2	LRFN2	0	0	0	1	0	0	
LRP1	4035	LDL receptor related protein 1	LRP1	0	0	0	1	0	1	
LRP1B	53353	LDL receptor related protein 1B	LRP1B	0	0	0	0	0	1	
LRP2	4036	LDL receptor related protein 2	LRP2	0	0	0	1	0	1	
LRP5	4041	LDL receptor related protein 5	LRP5	0	0	0	0	0	1	
LRP6	4040	LDL receptor related protein 6	LRP6	0	0	0	1	0	0	
LRRFIP1	9208	LRR binding FLII interacting protein 1	LRRFIP1	0	0	0	1	0	1	
LRRK1	79705	leucine rich repeat kinase 1	LRRK1	0	0	0	1	0	0	
LTN1	26046	listerin E3 ubiquitin protein ligase 1	LTN1	0	0	0	1	0	0	
LUC7L3	51747	LUC7 like 3 pre-mRNA splicing factor	LUC7L3	0	0	0	0	1	0	
LZTR1	8216	leucine zipper like transcription regulator 1	LZTR1	0	0	0	1	0	1	
MAK16	84549	MAK16 homolog	MAK16	0	0	0	0	0	1	
MALSU1	115416	mitochondrial assembly of ribosomal large subunit 1	MALSU1	0	0	0	0	0	1	
MAN1A2	10905	mannosidase alpha class 1A member 2	MAN1A2	0	0	0	0	1	0	
MAP1S	55201	microtubule associated protein 1S	MAP1S	0	0	0	0	0	1	
MAP2	4133	microtubule associated protein 2	MAP2	0	0	0	0	0	1	
MAP2K3	5606	mitogen-activated protein kinase kinase 3	MAP2K3	0	0	0	1	0	0	
MAP3K10	4294	mitogen-activated protein kinase kinase kinase 10	MAP3K10	0	0	0	1	0	0	
MAP3K14	9020	mitogen-activated protein kinase kinase kinase 14	MAP3K14	0	0	0	1	0	0	
MAP3K19	80122	mitogen-activated protein kinase kinase kinase 19	MAP3K19	0	0	0	0	0	1	
MAPK8IP3	23162	mitogen-activated protein kinase 8 interacting protein 3	MAPK8IP3	0	0	0	1	0	0	
MASP1	5648	mannan binding lectin serine peptidase 1	MASP1	0	0	0	1	0	0	
MBD5	55777	methyl-CpG binding domain protein 5	MBD5	1	0	0	1	0	0	
MBNL1	4154	muscleblind like splicing regulator 1	MBNL1	0	0	0	1	0	0	
MCM3	4172	minichromosome maintenance complex component 3	MCM3	0	0	0	0	1	0	
MDN1	23195	midasin AAA ATPase 1	MDN1	0	0	0	1	0	0	
MEA1	4201	male-enhanced antigen 1	MEA1	0	0	0	0	0	1	
MED13	9969	mediator complex subunit 13	MED13	0	0	0	1	0	0	
MED13L	23389	mediator complex subunit 13 like	MED13L	0	0	0	1	0	1	
MED20	9477	mediator complex subunit 20	MED20	0	0	0	0	0	1	
MED24	9862	mediator complex subunit 24	MED24	0	0	0	1	0	0	
MEGF11	84465	multiple EGF like domains 11	MEGF11	0	0	0	1	0	0	
MEGF6	1953	multiple EGF like domains 6	MEGF6	0	0	0	1	0	0	
MEIS2	4212	Meis homeobox 2	MEIS2	0	0	0	0	0	1	
MEMO1	51072	Methylation modifier for class I HLA	MEMO1	0	0	0	1	0	0	
MEOX2	4223	mesenchyme homeobox 2	MEOX2	0	0	0	0	1	0	
METTL23	124512	methyltransferase like 23	METTL23	0	0	0	1	0	0	
MFN1	55669	mitofusin 1	MFN1	0	0	0	1	0	0	
MFRP	83552	membrane frizzled-related protein	MFRP	1	0	0	1	0	0	
MFSD3	113655	major facilitator superfamily domain containing 3	MFSD3	0	0	0	1	0	0	
MGAT4C	25834	MGAT4 family member C	MGAT4C	0	0	0	1	0	0	
MIB1	57534	mindbomb E3 ubiquitin protein ligase 1	MIB1	1	0	0	1	0	0	
MICAL2	9645	"microtubule associated monooxygenase, calponin and LIM domain containing 2"	MICAL2	0	0	0	1	0	0	
MINK1	50488	misshapen like kinase 1	MINK1	0	0	0	1	0	1	
MKLN1	4289	muskelin 1	MKLN1	0	0	0	0	1	0	
MKRN2	23609	makorin ring finger protein 2	MKRN2	0	0	0	0	0	1	
MKS1	54903	"Meckel syndrome, type 1"	MKS1	0	0	0	1	0	0	
MLANA	2315	melan-A	MLANA	0	0	0	1	0	0	
MMP27	64066	matrix metallopeptidase 27	MMP27	0	0	0	0	1	0	
MORC3	23515	MORC family CW-type zinc finger 3	MORC3	0	0	0	1	0	0	
MOV10	4343	Mov10 RISC complex RNA helicase	MOV10	0	0	0	1	0	0	
MPHOSPH8	54737	M-phase phosphoprotein 8	MPHOSPH8	0	0	0	1	0	0	
MPO	4353	myeloperoxidase	MPO	0	0	0	1	0	0	
MPP6	51678	membrane palmitoylated protein 6	MPP6	0	0	0	1	0	0	
MPZL3	196264	myelin protein zero like 3	MPZL3	0	0	0	0	0	1	
MROH7	374977	maestro heat like repeat family member 7	MROH7	0	0	0	0	0	1	
MRS2	57380	"MRS2, magnesium transporter"	MRS2	0	0	0	0	1	0	
MSH6	2956	mutS homolog 6	MSH6	0	0	0	1	0	0	
MSL2	55167	MSL complex subunit 2	MSL2	0	0	0	1	0	0	
MTHFS	10588	methenyltetrahydrofolate synthetase	MTHFS	0	0	0	1	0	0	
MTMR2	8898	myotubularin related protein 2	MTMR2	0	0	0	1	0	0	
MTMR3	8897	myotubularin related protein 3	MTMR3	0	0	0	0	0	1	
MTOR	2475	mechanistic target of rapamycin kinase	MTOR	0	0	0	1	0	1	
MTUS1	57509	microtubule associated scaffold protein 1	MTUS1	0	0	0	1	0	0	
MUC21	394263	"mucin 21, cell surface associated"	MUC21	0	0	0	1	0	0	
MUC5B	727897	"mucin 5B, oligomeric mucus/gel-forming"	MUC5B	0	0	0	1	0	0	
MUM1	84939	melanoma associated antigen (mutated) 1	MUM1	0	0	0	0	0	1	
MYB	4602	"MYB proto-oncogene, transcription factor"	MYB	0	0	0	1	0	0	
MYH10	4628	myosin heavy chain 10	MYH10	0	0	0	1	0	0	
MYH2	4620	myosin heavy chain 2	MYH2	0	0	0	1	0	0	
MYH6	4624	myosin heavy chain 6	MYH6	0	0	1	0	0	1	
MYH9	4627	myosin heavy chain 9	MYH9	0	0	0	1	0	0	
MYL2	4633	myosin light chain 2	MYL2	0	0	0	0	0	1	
MYNN	55892	myoneurin	MYNN	0	0	0	1	0	0	
MYO16	23026	myosin XVI	MYO16	0	0	0	0	0	1	
MYO1E	4643	myosin IE	MYO1E	0	0	0	1	0	0	
MYO3A	53904	myosin IIIA	MYO3A	0	0	0	0	1	0	
MYO5A	4644	myosin VA	MYO5A	0	0	0	1	1	1	
MYO5C	55930	myosin VC	MYO5C	0	0	0	1	0	0	
MYO7B	4648	myosin VIIB	MYO7B	0	0	0	1	0	0	
MYO9B	4650	myosin IXB	MYO9B	0	0	0	1	0	0	
MYOF	26509	myoferlin	MYOF	0	0	0	0	0	1	
MYOG	4656	myogenin	MYOG	0	0	0	0	0	1	
MYOM1	8736	myomesin 1	MYOM1	0	0	0	0	0	1	
MYOM2	9172	myomesin 2	MYOM2	0	0	0	0	0	1	
MYT1L	23040	myelin transcription factor 1 like	MYT1L	1	0	0	1	0	0	
N6AMT1	29104	N-6 adenine-specific DNA methyltransferase 1	N6AMT1	0	0	0	0	1	0	
NAA15	80155	"N(alpha)-acetyltransferase 15, NatA auxiliary subunit"	NAA15	1	0	1	0	0	1	
NAA16	79612	"N(alpha)-acetyltransferase 16, NatA auxiliary subunit"	NAA16	0	0	0	0	0	1	
NAA40	79829	"N(alpha)-acetyltransferase 40, NatD catalytic subunit"	NAA40	0	0	0	1	0	0	
NACA	4666	nascent polypeptide-associated complex alpha subunit	NACA	0	0	0	1	0	0	
NACC1	112939	nucleus accumbens associated 1	NACC1	0	0	0	1	0	0	
NALCN	259232	"sodium leak channel, non-selective"	NALCN	0	0	0	0	0	1	
NAPRT	93100	nicotinate phosphoribosyltransferase	NAPRT1	0	0	0	1	0	0	DIF
ICE2	79664	interactor of little elongation complex ELL subunit 2	NARG2	0	0	0	1	0	0	DIF
NAV2	89797	neuron navigator 2	NAV2	0	0	0	1	0	0	
NBEA	26960	neurobeachin	NBEA	0	0	0	1	1	0	
NCKAP1	10787	NCK associated protein 1	NCKAP1	1	0	0	1	0	1	
NCOR1	9611	nuclear receptor corepressor 1	NCOR1	0	0	0	1	0	0	
NDST4	64579	N-deacetylase and N-sulfotransferase 4	NDST4	0	0	0	1	0	0	
NEB	4703	nebulin	NEB	0	0	0	0	0	1	
NEDD9	4739	"neural precursor cell expressed, developmentally down-regulated 9"	NEDD9	0	0	0	1	1	0	
NEK10	152110	NIMA related kinase 10	NEK10	0	0	0	0	0	1	
NEURL4	84461	neuralized E3 ubiquitin protein ligase 4	NEURL4	0	0	0	0	0	1	
NF1	4763	neurofibromin 1	NF1	0	0	0	1	0	1	
NFASC	23114	neurofascin	NFASC	0	0	0	0	1	0	
NFATC2	4773	nuclear factor of activated T-cells 2	NFATC2	0	0	0	0	0	1	
NFE2L3	9603	"nuclear factor, erythroid 2 like 3"	NFE2L3	0	0	0	1	0	0	
NFIA	4774	nuclear factor I A	NFIA	0	0	0	1	0	0	
NFIB	4781	nuclear factor I B	NFIB	0	0	0	1	0	0	
NFKBIL1	4795	NFKB inhibitor like 1	NFKBIL1	0	0	0	1	0	0	
NGFR	4804	nerve growth factor receptor	NGFR	0	0	0	0	0	1	
NIN	51199	ninein	NIN	0	0	0	1	0	0	
NINL	22981	ninein like	NINL	1	0	0	1	0	0	
NLGN2	57555	neuroligin 2	NLGN2	0	0	0	0	1	0	
NLGN3	54413	neuroligin 3	NLGN3	1	0	0	0	0	0	
NMT1	4836	N-myristoyltransferase 1	NMT1	0	0	0	1	0	0	
NMT2	9397	N-myristoyltransferase 2	NMT2	0	0	0	1	0	0	
NOL9	79707	nucleolar protein 9	NOL9	0	0	0	0	0	1	
NOS1	4842	nitric oxide synthase 1	NOS1	0	0	0	0	0	1	
NOTCH1	4851	notch 1	NOTCH1	0	0	1	1	0	1	
NPHP3	27031	nephrocystin 3	NPHP3	0	0	0	0	0	1	
NR2F1	7025	nuclear receptor subfamily 2 group F member 1	NR2F1	0	0	0	1	0	0	
NR3C2	4306	nuclear receptor subfamily 3 group C member 2	NR3C2	0	0	0	1	0	0	
NR4A2	4929	nuclear receptor subfamily 4 group A member 2	NR4A2	0	0	0	1	0	0	
NR6A1	2649	nuclear receptor subfamily 6 group A member 1	NR6A1	0	0	0	0	0	1	
NRXN1	9378	neurexin 1	NRXN1	1	0	0	1	0	0	
NSD1	64324	nuclear receptor binding SET domain protein 1	NSD1	0	0	0	0	0	1	
NTM	50863	neurotrimin	NTM	0	0	0	0	0	1	
NTNG1	22854	netrin G1	NTNG1	0	0	0	1	0	0	
NUAK1	9891	NUAK family kinase 1	NUAK1	0	0	0	1	0	0	
NUB1	51667	negative regulator of ubiquitin like proteins 1	NUB1	0	0	0	0	0	1	
NUDCD1	84955	NudC domain containing 1	NUDCD1	0	0	0	1	0	0	
NUDT17	200035	nudix hydrolase 17	NUDT17	0	0	0	1	0	0	
NUP214	8021	nucleoporin 214	NUP214	0	0	0	1	0	0	
NXPE4	54827	neurexophilin and PC-esterase domain family member 4	NXPE4	0	0	0	1	0	0	
OAZ3	51686	ornithine decarboxylase antizyme 3	OAZ3	0	0	0	0	0	1	
OGDH	4967	oxoglutarate dehydrogenase	OGDH	0	0	0	1	0	0	
OLFM3	118427	olfactomedin 3	OLFM3	0	0	0	1	0	0	
OMA1	115209	OMA1 zinc metallopeptidase	OMA1	0	0	0	0	0	1	
ONECUT1	3175	one cut homeobox 1	ONECUT1	0	0	0	1	0	0	
OR10S1	219873	olfactory receptor family 10 subfamily S member 1	OR10S1	0	0	0	0	1	0	
OR10Z1	128368	olfactory receptor family 10 subfamily Z member 1	OR10Z1	0	0	0	1	0	0	
OR2T10	127069	olfactory receptor family 2 subfamily T member 10	OR2T10	0	0	0	1	0	0	
OR4C11	219429	olfactory receptor family 4 subfamily C member 11	OR4C11	0	0	0	1	0	0	
